mc_trial,method,precision,recall,f1,accuracy,tp,tn,fp,fn
21,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
21,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
21,depth.RPp,0.6904761904761905,0.6444444444444445,0.6666666666666666,0.9033333333333333,29,242,13,16
21,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
22,depth.FMp,0.8181818181818182,0.6,0.6923076923076923,0.92,27,249,6,18
22,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
22,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
22,depth.RPp,0.6481481481481481,0.7777777777777778,0.707070707070707,0.9033333333333333,35,236,19,10
22,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
23,depth.FMp,0.6428571428571429,0.6,0.6206896551724138,0.89,27,240,15,18
23,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
23,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
23,depth.RPp,0.5932203389830508,0.7777777777777778,0.673076923076923,0.8866666666666667,35,231,24,10
23,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
24,depth.FMp,0.7857142857142857,0.4888888888888889,0.6027397260273972,0.9033333333333333,22,249,6,23
24,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
24,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
24,depth.RPp,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.89,24,243,12,21
24,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
25,depth.FMp,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.9166666666666666,25,250,5,20
25,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
25,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
25,depth.RPp,0.4714285714285714,0.7333333333333333,0.5739130434782609,0.8366666666666667,33,218,37,12
25,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
26,depth.FMp,0.6086956521739131,0.6222222222222222,0.6153846153846154,0.8833333333333333,28,237,18,17
26,mrfDepth.fOutl,1.0,0.9777777777777777,0.9887640449438202,0.9966666666666667,44,255,0,1
26,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
26,depth.RPp,0.5,0.6222222222222222,0.5544554455445545,0.85,28,227,28,17
26,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
27,depth.FMp,0.43661971830985913,0.6888888888888889,0.5344827586206896,0.82,31,215,40,14
27,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
27,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
27,depth.RPp,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.8333333333333334,35,215,40,10
27,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
28,depth.FMp,0.8181818181818182,0.4,0.537313432835821,0.8966666666666666,18,251,4,27
28,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
28,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
28,depth.RPp,0.5319148936170213,0.5555555555555556,0.5434782608695652,0.86,25,233,22,20
28,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
29,depth.FMp,0.6304347826086957,0.6444444444444445,0.6373626373626373,0.89,29,238,17,16
29,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
29,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
29,depth.RPp,0.7567567567567568,0.6222222222222222,0.6829268292682927,0.9133333333333333,28,246,9,17
29,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
30,depth.FMp,0.7804878048780488,0.7111111111111111,0.7441860465116279,0.9266666666666666,32,246,9,13
30,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
30,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
30,depth.RPp,0.6666666666666666,0.6222222222222222,0.6436781609195403,0.8966666666666666,28,241,14,17
30,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
31,depth.FMp,0.7297297297297297,0.6,0.6585365853658536,0.9066666666666666,27,245,10,18
31,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
31,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
