mc_trial,method,variant,precision,recall,f1,accuracy,tp,tn,fp,fn
52,depth.RPD,raw,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9866666666666667,43,253,2,2
52,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
52,WICMAD,deriv,1.0,1.0,1.0,1.0,45,255,0,0
53,depth.FM,raw,0.3088235294117647,0.4666666666666667,0.37168141592920356,0.7633333333333333,21,208,47,24
53,depth.mode,raw,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
53,depth.RT,raw,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.95,42,243,12,3
53,depth.RP,raw,0.4805194805194805,0.8222222222222222,0.6065573770491802,0.84,37,215,40,8
53,depth.RPD,raw,0.8936170212765957,0.9333333333333333,0.9130434782608695,0.9733333333333334,42,250,5,3
53,WICMAD,raw,0.0,0.0,0.0,0.85,0,255,0,45
53,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
54,depth.FM,raw,0.2215909090909091,0.8666666666666667,0.3529411764705882,0.5233333333333333,39,118,137,6
54,depth.mode,raw,0.9565217391304348,0.9777777777777777,0.967032967032967,0.99,44,253,2,1
54,depth.RT,raw,0.8333333333333334,0.7777777777777778,0.8045977011494253,0.9433333333333334,35,248,7,10
54,depth.RP,raw,0.5740740740740741,0.6888888888888889,0.6262626262626262,0.8766666666666667,31,232,23,14
54,depth.RPD,raw,0.9523809523809523,0.8888888888888888,0.9195402298850575,0.9766666666666667,40,253,2,5
54,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
54,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
55,depth.FM,raw,0.3333333333333333,0.37777777777777777,0.3541666666666667,0.7933333333333333,17,221,34,28
55,depth.mode,raw,1.0,0.9777777777777777,0.9887640449438202,0.9966666666666667,44,255,0,1
55,depth.RT,raw,0.9047619047619048,0.8444444444444444,0.8735632183908046,0.9633333333333334,38,251,4,7
55,depth.RP,raw,0.38613861386138615,0.8666666666666667,0.5342465753424658,0.7733333333333333,39,193,62,6
55,depth.RPD,raw,0.9743589743589743,0.8444444444444444,0.9047619047619048,0.9733333333333334,38,254,1,7
55,WICMAD,raw,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
55,WICMAD,deriv,1.0,0.9777777777777777,0.9887640449438202,0.9966666666666667,44,255,0,1
56,depth.FM,raw,0.20809248554913296,0.8,0.33027522935779824,0.5133333333333333,36,118,137,9
56,depth.mode,raw,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
56,depth.RT,raw,0.8863636363636364,0.8666666666666667,0.8764044943820225,0.9633333333333334,39,250,5,6
56,depth.RP,raw,0.5151515151515151,0.7555555555555555,0.6126126126126126,0.8566666666666667,34,223,32,11
56,depth.RPD,raw,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9733333333333334,41,251,4,4
56,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
56,WICMAD,deriv,1.0,1.0,1.0,1.0,45,255,0,0
57,depth.FM,raw,0.20833333333333334,0.6666666666666666,0.3174603174603175,0.57,30,141,114,15
57,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
57,depth.RT,raw,0.7592592592592593,0.9111111111111111,0.8282828282828282,0.9433333333333334,41,242,13,4
57,depth.RP,raw,0.3958333333333333,0.8444444444444444,0.5390070921985816,0.7833333333333333,38,197,58,7
57,depth.RPD,raw,0.9318181818181818,0.9111111111111111,0.9213483146067416,0.9766666666666667,41,252,3,4
57,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
57,WICMAD,deriv,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9933333333333333,44,254,1,1
58,depth.FM,raw,0.27722772277227725,0.6222222222222222,0.3835616438356165,0.7,28,182,73,17
58,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
58,depth.RT,raw,0.7358490566037735,0.8666666666666667,0.7959183673469387,0.9333333333333333,39,241,14,6
58,depth.RP,raw,0.42528735632183906,0.8222222222222222,0.5606060606060606,0.8066666666666666,37,205,50,8
58,depth.RPD,raw,0.8461538461538461,0.9777777777777777,0.9072164948453608,0.97,44,247,8,1
58,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
58,WICMAD,deriv,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
59,depth.FM,raw,0.21551724137931033,0.5555555555555556,0.31055900621118016,0.63,25,164,91,20
59,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
59,depth.RT,raw,0.8125,0.8666666666666667,0.8387096774193549,0.95,39,246,9,6
59,depth.RP,raw,0.3942307692307692,0.9111111111111111,0.5503355704697986,0.7766666666666666,41,192,63,4
59,depth.RPD,raw,0.9318181818181818,0.9111111111111111,0.9213483146067416,0.9766666666666667,41,252,3,4
59,WICMAD,raw,0.0,0.0,0.0,0.85,0,255,0,45
59,WICMAD,deriv,1.0,0.06666666666666667,0.125,0.86,3,255,0,42
60,depth.FM,raw,0.24427480916030533,0.7111111111111111,0.36363636363636365,0.6266666666666667,32,156,99,13
60,depth.mode,raw,0.9574468085106383,1.0,0.9782608695652174,0.9933333333333333,45,253,2,0
60,depth.RT,raw,0.8863636363636364,0.8666666666666667,0.8764044943820225,0.9633333333333334,39,250,5,6
60,depth.RP,raw,0.4533333333333333,0.7555555555555555,0.5666666666666667,0.8266666666666667,34,214,41,11
60,depth.RPD,raw,0.88,0.9777777777777777,0.9263157894736842,0.9766666666666667,44,249,6,1
60,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
60,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
61,depth.FM,raw,0.23423423423423423,0.5777777777777777,0.3333333333333333,0.6533333333333333,26,170,85,19
61,depth.mode,raw,1.0,0.9555555555555556,0.9772727272727273,0.9933333333333333,43,255,0,2
61,depth.RT,raw,0.7735849056603774,0.9111111111111111,0.8367346938775511,0.9466666666666667,41,243,12,4
61,depth.RP,raw,0.36666666666666664,0.7333333333333333,0.4888888888888889,0.77,33,198,57,12
61,depth.RPD,raw,0.9148936170212766,0.9555555555555556,0.9347826086956522,0.98,43,251,4,2
61,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
61,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
62,depth.FM,raw,0.2546583850931677,0.9111111111111111,0.3980582524271844,0.5866666666666667,41,135,120,4
62,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
62,depth.RT,raw,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.94,42,240,15,3
62,depth.RP,raw,0.4444444444444444,0.7111111111111111,0.5470085470085471,0.8233333333333334,32,215,40,13
62,depth.RPD,raw,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
62,WICMAD,raw,0.0,0.0,0.0,0.85,0,255,0,45
62,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
63,depth.FM,raw,0.18292682926829268,1.0,0.30927835051546393,0.33,45,54,201,0
63,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
63,depth.RT,raw,0.851063829787234,0.8888888888888888,0.8695652173913044,0.96,40,248,7,5
63,depth.RP,raw,0.44285714285714284,0.6888888888888889,0.5391304347826087,0.8233333333333334,31,216,39,14
63,depth.RPD,raw,0.9347826086956522,0.9555555555555556,0.945054945054945,0.9833333333333333,43,252,3,2
63,WICMAD,raw,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
63,WICMAD,deriv,1.0,0.08888888888888889,0.163265306122449,0.8633333333333333,4,255,0,41
64,depth.FM,raw,0.22784810126582278,0.8,0.354679802955665,0.5633333333333334,36,133,122,9
64,depth.mode,raw,1.0,0.9777777777777777,0.9887640449438202,0.9966666666666667,44,255,0,1
64,depth.RT,raw,0.7924528301886793,0.9333333333333333,0.8571428571428572,0.9533333333333334,42,244,11,3
64,depth.RP,raw,0.3956043956043956,0.8,0.5294117647058824,0.7866666666666666,36,200,55,9
64,depth.RPD,raw,0.9772727272727273,0.9555555555555556,0.9662921348314608,0.99,43,254,1,2
64,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
64,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
65,depth.FM,raw,0.21311475409836064,0.8666666666666667,0.3421052631578947,0.5,39,111,144,6
65,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
65,depth.RT,raw,0.8260869565217391,0.8444444444444444,0.8351648351648352,0.95,38,247,8,7
65,depth.RP,raw,0.375,0.9333333333333333,0.535031847133758,0.7566666666666667,42,185,70,3
65,depth.RPD,raw,0.9487179487179487,0.8222222222222222,0.8809523809523809,0.9666666666666667,37,253,2,8
65,WICMAD,raw,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
