mc_trial,method,variant,precision,recall,f1,accuracy,tp,tn,fp,fn
13,depth.RPD,raw,0.6551724137931034,0.8444444444444444,0.7378640776699029,0.91,38,235,20,7
13,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
13,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
14,depth.FM,raw,1.0,1.0,1.0,1.0,45,255,0,0
14,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
14,depth.RT,raw,0.8409090909090909,0.8222222222222222,0.8314606741573033,0.95,37,248,7,8
14,depth.RP,raw,1.0,1.0,1.0,1.0,45,255,0,0
14,depth.RPD,raw,0.7959183673469388,0.8666666666666667,0.8297872340425533,0.9466666666666667,39,245,10,6
14,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
14,WICMAD,deriv,0.0,0.0,0.0,0.8466666666666667,0,254,1,45
15,depth.FM,raw,1.0,1.0,1.0,1.0,45,255,0,0
15,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
15,depth.RT,raw,0.7169811320754716,0.8444444444444444,0.7755102040816326,0.9266666666666666,38,240,15,7
15,depth.RP,raw,1.0,1.0,1.0,1.0,45,255,0,0
15,depth.RPD,raw,0.5714285714285714,0.6222222222222222,0.5957446808510639,0.8733333333333333,28,234,21,17
15,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
15,WICMAD,deriv,1.0,1.0,1.0,1.0,45,255,0,0
16,depth.FM,raw,1.0,1.0,1.0,1.0,45,255,0,0
16,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
16,depth.RT,raw,0.6935483870967742,0.9555555555555556,0.8037383177570094,0.93,43,236,19,2
16,depth.RP,raw,1.0,1.0,1.0,1.0,45,255,0,0
16,depth.RPD,raw,0.8,0.9777777777777777,0.8800000000000001,0.96,44,244,11,1
16,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
16,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
17,depth.FM,raw,1.0,1.0,1.0,1.0,45,255,0,0
17,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
17,depth.RT,raw,0.8979591836734694,0.9777777777777777,0.9361702127659575,0.98,44,250,5,1
17,depth.RP,raw,1.0,1.0,1.0,1.0,45,255,0,0
