mc_trial,method,precision,recall,f1,accuracy,tp,tn,fp,fn
21,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
21,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
21,depth.RPp,0.35,0.4666666666666667,0.4,0.79,21,216,39,24
21,WICMAD,1.0,0.7111111111111111,0.8311688311688311,0.9566666666666667,32,255,0,13
22,depth.FMp,0.48,0.5333333333333333,0.505263157894737,0.8433333333333334,24,229,26,21
22,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
22,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
22,depth.RPp,0.4230769230769231,0.4888888888888889,0.4536082474226804,0.8233333333333334,22,225,30,23
22,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
23,depth.FMp,0.5121951219512195,0.4666666666666667,0.48837209302325585,0.8533333333333334,21,235,20,24
23,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
23,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
23,depth.RPp,0.25225225225225223,0.6222222222222222,0.3589743589743589,0.6666666666666666,28,172,83,17
23,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
24,depth.FMp,0.8571428571428571,0.4,0.5454545454545455,0.9,18,252,3,27
24,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
24,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
24,depth.RPp,0.3125,0.6666666666666666,0.425531914893617,0.73,30,189,66,15
24,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
25,depth.FMp,0.44642857142857145,0.5555555555555556,0.4950495049504951,0.83,25,224,31,20
25,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
25,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
25,depth.RPp,0.2619047619047619,0.7333333333333333,0.38596491228070173,0.65,33,162,93,12
25,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
26,depth.FMp,0.5277777777777778,0.4222222222222222,0.46913580246913583,0.8566666666666667,19,238,17,26
26,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
26,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
26,depth.RPp,0.34285714285714286,0.5333333333333333,0.41739130434782606,0.7766666666666666,24,209,46,21
26,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
27,depth.FMp,1.0,0.3333333333333333,0.5,0.9,15,255,0,30
27,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
27,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
27,depth.RPp,0.3076923076923077,0.5333333333333333,0.3902439024390244,0.75,24,201,54,21
27,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
28,depth.FMp,0.42,0.4666666666666667,0.4421052631578947,0.8233333333333334,21,226,29,24
28,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
28,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
28,depth.RPp,0.42105263157894735,0.35555555555555557,0.38554216867469876,0.83,16,233,22,29
28,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
29,depth.FMp,0.5,0.6222222222222222,0.5544554455445545,0.85,28,227,28,17
29,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
29,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
29,depth.RPp,0.3898305084745763,0.5111111111111111,0.4423076923076923,0.8066666666666666,23,219,36,22
29,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
30,depth.FMp,0.6190476190476191,0.5777777777777777,0.5977011494252873,0.8833333333333333,26,239,16,19
30,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
30,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
30,depth.RPp,0.3132530120481928,0.5777777777777777,0.40625,0.7466666666666667,26,198,57,19
30,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
31,depth.FMp,0.5952380952380952,0.5555555555555556,0.574712643678161,0.8766666666666667,25,238,17,20
31,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
31,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
31,depth.RPp,0.6206896551724138,0.4,0.4864864864864865,0.8733333333333333,18,244,11,27
31,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
